Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,500,1000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,1000,1000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,500,2000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,1000,2000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,500,3000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,1000,3000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,500,5000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,64,1,64,random,30,30,1000,5000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,500,1000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,1000,1000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,500,2000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,1000,2000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,500,3000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,1000,3000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,500,5000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,128,1,64,random,30,30,1000,5000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,500,1000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,1000,1000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,500,2000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,1000,2000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,500,3000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,1000,3000
v6e-1,Qwen/Qwen2.5-7B-Instruct,64,256,1,64,random,30,30,500,5000
